GBI Store Code,GBI Store Name,GBI Store Address,Ownership,GBI Store Type,GBI Store Region,GBI Store Sub Region,GBI Store Province Municipality,Cluster,GBI Store Email Add,GBI SBU
102041,11th AVENUE,"West Side LRT North Drive, West Phase Rizal Ave.  Ext.  Caloocan City",SUBSIDIARIES,Bakeshop,LUZON,MEGA NORTH,CALOOCAN,Cluster 1,store.102041@goldilocks.com,Store
119535,168 GROUND FLOOR,"G/F 1F5S 168 Mall Soler Street, Binondo Manila",FRANCHISE,Cart,LUZON,MEGA SOUTH,"MANILA, CITY OF",Cluster 1,store.119535@goldilocks.com,Store
103187,A MABINI CALOOCAN,"371 A. MABINI ST., BRGY 015 DISTRICT 1 CALOOCAN CITY",FRANCHISE,Bakeshop,LUZON,MEGA NORTH,CALOOCAN,Cluster 1,store.103187@goldilocks.com,Store
600378,ABAD SANTOS HERMOSA,"#1142 Hermosa Street, Manuguit, Tondo Manila",COMPANY OWNED,Bakeshop,LUZON,MEGA SOUTH,"MANILA, CITY OF",Cluster 1,store.600378@goldilocks.com,Store
107122,ABANAO SQUARE,#22 Session Rd. Baguio City,FRANCHISE,Cart,LUZON,NORTHERN LUZON,BAGUIO CITY,Cluster 2,store.107122@goldilocks.com,Store
119721,ABREEZA - SU,"Bajada, JP Laurel, Davao City",SUBSIDIARIES,Bakeshop,MINDANAO,SOUTHERN MINDANAO,DAVAO CITY,Cluster 4,store.119721@goldilocks.com,Store
700061,ABUCAY BATAAN TM,#381 Ibayo Abucay Bataan,FRANCHISE,Test Market,LUZON,CENTRAL LUZON,,Cluster 2,No E-mail Account,Store
106063,ABUYOG,"Real St., Brgy Nalibunan, Abuyog City, Leyte",FRANCHISE,Test Market,VISAYAS,EASTERN VISAYAS,"ABUYOG, CITY OF",Cluster 4,store.106063@goldilocks.com,Store
103153,AGDAO,"Davao Central Warehouse Lapulapu Streer corner N. Torres Street, Davao City",FRANCHISE,Bakeshop,MINDANAO,SOUTHERN MINDANAO,DAVAO CITY,Cluster 4,store.103153@goldilocks.com,Store
102116,AGLIPAY,"Aglipay St., New Panaderos, Mandaluyong City",FRANCHISE,Kiosk,LUZON,MEGA SOUTH,"MANDALUYONG, CITY OF",Cluster 1,store.102116@goldilocks.com,Store
102107,AGOO LA UNION,"185 Consolacion, Agoo, La Union",SUBSIDIARIES,Kiosk,LUZON,NORTHERN LUZON,AGOO,Cluster 2,store.102107@goldilocks.com,Store
114035,ALAMINOS LAGUNA,Pan-Philippines highway brgy. Poblacion Alaminos Laguna,FRANCHISE,Test Market,LUZON,SOUTHERN LUZON,SAN PABLO CITY,Cluster 3,No E-mail Account,Store
113278,"ALAMINOS, PANGASINAN","CSI WAREHOUSE CLUB, QUEZON AVE., COR. SADSARAN ST., ALAMINOS CITY",FRANCHISE,Bakeshop,LUZON,NORTHERN LUZON,"ALAMINOS, CITY OF",Cluster 2,store.113278@goldilocks.com,Store
119820,ALANG ALANG LEYTE,"Stall #25 & 26 J&F Mall Commercial Strip, Brgy. Mudburon, Alangalang Leyte",SUBSIDIARIES,Kiosk,VISAYAS,EASTERN VISAYAS,ALANG ALANG,Cluster 4,store.119820@goldilocks.com,Store
600419,ALFONSO CAVITE,"Barangay 2, Mabini St., Alfonso, Cavite",COMPANY OWNED,Kiosk,LUZON,SOUTHERN LUZON,CAVITE CITY,Cluster 3,store.600419@goldilocks.com,Store
115082,ALIAGA TM,"MGBBM Bldg., Brgy Poblacion West 111 Aliaga Nueva Ecija",SUBSIDIARIES,Test Market,LUZON,CENTRAL LUZON,ALIAGA,Cluster 2,store.115082@goldilocks.com,Store
600160,ALIMALL,38-39 Phase I G/F Ali Mall Areaneta Center Socorro D3 Q. C.,COMPANY OWNED,Full Store,LUZON,MEGA NORTH,QUEZON CITY,Cluster 1,store.600160@goldilocks.com,Store
115139,ALTURAS TAGBILARAN,Lower Ground Floor Alturas Mall B. Inting St. Poblacion II Tagbilaran City Bohol,SUBSIDIARIES,Kiosk,VISAYAS,CENTRAL VISAYAS,TAGBILARAN CITY,Cluster 4,store.115139@goldilocks.com,Store
115148,ALTURAS TUBIGON,Alturas Centro Tubigon Bohol,SUBSIDIARIES,Cart,VISAYAS,CENTRAL VISAYAS,TUBIGON CITY,Cluster 4,store.115148@goldilocks.com,Store
600470,AMAYA TANZA,"brgy. Amaya 1, Tanza Cavite",COMPANY OWNED,Kiosk,LUZON,SOUTHERN LUZON,TANZA,Cluster 3,No E-mail Account,Store
116293,ANGAT BULACAN,Sta. Cruz Angat Bulacan 3021,FRANCHISE,Kiosk,LUZON,CENTRAL LUZON,ANGAT,Cluster 2,store.116293@goldilocks.com,Store
600129,ANGELES 1,341 Sto. Rosario St. Angeles City,COMPANY OWNED,Bakeshop,LUZON,CENTRAL LUZON,ANGELES CITY,Cluster 2,store.600129@goldilocks.com,Store
600189,ANGELES 2,"G/F Commercial Building, Rizal St., San Nicolas, Angeles City, Pampanga",COMPANY OWNED,Kiosk,LUZON,CENTRAL LUZON,ANGELES CITY,Cluster 2,store.600189@goldilocks.com,Store
600096,ANGONO,"Villaluz Bldg. Cor. Guido St. & Quezon Ave. Angono, Rizal",COMPANY OWNED,Bakeshop,LUZON,SOUTHERN LUZON,ANGONO,Cluster 3,store.600096@goldilocks.com,Store
600357,"ANONAS, QC","J&F Divino bldg., 967 aurora blvd Quezon City",COMPANY OWNED,Bakeshop,LUZON,MEGA NORTH,QUEZON CITY,Cluster 1,store.600357@goldilocks.com,Store
600029,ANTIPOLO,"Dela Paz st. cor. Manuel L. Quezon st. Antipolo, Rizal",COMPANY OWNED,Bakeshop,LUZON,SOUTHERN LUZON,"ANTIPOLO, CITY OF",Cluster 3,store.600029@goldilocks.com,Store
600158,ANTIPOLO IMPERIAL,Femar Bldg. M.L. Quezon Street Antipolo City,COMPANY OWNED,Bakeshop,LUZON,SOUTHERN LUZON,"ANTIPOLO, CITY OF",Cluster 3,store.600158@goldilocks.com,Store
109024,ARAYAT PAMPANGA,"181 Purok 6 Mangga Brgy. Cacutud, Arayat Pampanga",FRANCHISE,Kiosk,LUZON,CENTRAL LUZON,ARAYAT,Cluster 2,store.109024@goldilocks.com,Store
115142,ARGAO,"Dr. Kintanar St., Prince Warehouse Poblacion, Argao, Cebu",SUBSIDIARIES,Kiosk,VISAYAS,CENTRAL VISAYAS,"ARGAO, CITY OF",Cluster 4,store.115142@goldilocks.com,Store
113381,AROROY MASBATE,"Apalit St., Ambolong, Aroroy, Masbate City",FRANCHISE,Bakeshop,VISAYAS,CENTRAL VISAYAS,"MASBATE, CITY OF",Cluster 4,store.113381@goldilocks.com,Store
115110,AYALA CEBU,"Ayala Center Cebu, Cebu Business Park, Cebu City",SUBSIDIARIES,Kiosk,VISAYAS,CENTRAL VISAYAS,CEBU CITY,Cluster 4,store.115110@goldilocks.com,Store
600386,AYALA MALLS MARIKINA,"unit code F108, Ayala malls Marikina Liwasang Kalayaan",COMPANY OWNED,Kiosk,LUZON,MEGA NORTH,"MARIKINA, CITY OF",Cluster 1,store.600386@goldilocks.com,Store
120082,BACLARAN,"113 RBCC Bldg ,  Roxas Blvd,  Baclaran,  ParaÅ„aque City",FRANCHISE,Bakeshop,LUZON,MEGA SOUTH,"PARANAQUE, CITY OF",Cluster 1,store.120082@goldilocks.com,Store
700051,BADIAN TM,"Ground floor of R. Librado Bldg, Poblacion, Badian Cebu",SUBSIDIARIES,Test Market,VISAYAS,CENTRAL VISAYAS,,Cluster 4,store.700051@goldilocks.com,Store
102224,BAGO NEGROS OCCIDENTAL,"Cor. Araneta 2nd St. , Marhil Subdivision, Bago City, Negros Occidental",SUBSIDIARIES,Kiosk,VISAYAS,WESTERN VISAYAS,BAGO CITY,Cluster 4,store.102224@goldilocks.com,Store
